,Total Overdose Deaths,  Female,  Male,Prescription Drugs1,  Female,  Male,  Opioid Pain Relievers2,  Female,  Male,  Benzodiazepines3,  Female,  Male,Illicit Drugs4,  Female,  Male,  Cocaine5,  Female,  Male,  Heroin6,  Female,  Male,Opioids7,  Female,  Male,  Opioid Pain Relievers2,  Female,  Male,  Opioid Pain Relievers other than synthetic opioids8,  Female,  Male,  Heroin6,  Female,  Male,  Synthetic Opioids other than Methadone9,  Female,  Male,Illicit Opioids (Heroin and Synthetic Opioids other than Methadone)10,  Female,  Male
1999,16849,5591,11258,7523,3011,4512,4030,1287,2743,1135,420,715,5630,1190,4440,3822,850,2972,1960,306,1654,8048,2057,5991,4030,1287,2743,6158,1578,4580,1960,306,1654,730,330,400,2675,632,2043
2000,17415,5852,11563,7885,3196,4689,4400,1534,2866,1298,480,818,5309,1164,4145,3544,843,2701,1842,279,1563,8407,2264,6143,4400,1534,2866,6462,1773,4689,1842,279,1563,782,374,408,2606,646,1960
2001,19394,6736,12658,9197,3790,5407,5528,1969,3559,1594,614,980,5556,1284,4272,3833,957,2876,1779,313,1466,9492,2766,6726,5528,1969,3559,7389,2176,5213,1779,313,1466,957,447,510,2721,756,1965
2002,23518,8490,15028,11529,4765,6764,7456,2761,4695,2022,763,1259,6838,1627,5211,4599,1143,3456,2089,359,1730,11917,3759,8158,7456,2761,4695,9349,3030,6319,2089,359,1730,1295,614,681,3369,968,2401
2003,25785,9386,16399,12640,5191,7449,8517,3173,5344,2248,885,1363,7653,1854,5799,5199,1322,3877,2080,358,1722,12939,4137,8802,8517,3173,5344,10266,3360,6906,2080,358,1722,1400,643,757,3464,998,2466
2004,27424,10304,17120,14153,5980,8173,9857,3758,6099,2627,1079,1548,7911,2001,5910,5443,1405,4038,1878,341,1537,13755,4642,9113,9857,3758,6099,11000,3767,7233,1878,341,1537,1664,798,866,3529,1133,2396
2005,29813,11089,18724,15352,6351,9001,10928,4188,6740,3084,1209,1875,8923,2251,6672,6208,1620,4588,2009,389,1620,14917,5161,9756,10928,4188,6740,12068,4265,7803,2009,389,1620,1742,823,919,3717,1203,2514
2006,34425,12532,21893,18559,7553,11006,13723,5058,8665,3835,1472,2363,10039,2456,7583,7448,1860,5588,2088,344,1744,17545,5945,11600,13723,5058,8665,13989,4924,9065,2088,344,1744,2707,1030,1677,4682,1349,3333
2007,36010,13712,22298,19601,8251,11350,14408,5630,8778,4500,1894,2606,9418,2301,7117,6512,1665,4847,2399,399,2000,18515,6581,11934,14408,5630,8778,15046,5528,9518,2399,399,2000,2213,1053,1160,4599,1449,3150
2008,36450,13982,22468,20044,8275,11769,14800,5733,9067,5010,2046,2964,8612,2055,6557,5129,1322,3807,3041,551,2490,19582,6819,12763,14800,5733,9067,15560,5628,9932,3041,551,2490,2306,1083,1223,5319,1621,3698
2009,37004,14411,22593,20848,8740,12108,15597,6213,9384,5567,2281,3286,8446,2043,6403,4350,1141,3209,3278,577,2701,20422,7287,13135,15597,6213,9384,15800,5865,9935,3278,577,2701,2946,1445,1501,6195,2012,4183
2010,38329,15323,23006,22134,9292,12842,16651,6631,10020,6497,2579,3918,8408,2159,6249,4183,1132,3051,3036,584,2452,21088,7733,13355,16651,6631,10020,16655,6308,10347,3036,584,2452,3007,1440,1567,5998,2016,3982
2011,41340,16352,24988,22810,9771,13039,16917,6903,10014,6872,2902,3970,10284,2636,7648,4681,1314,3367,4397,878,3519,22784,8325,14459,16917,6903,10014,17552,6834,10718,4397,878,3519,2666,1247,1419,7019,2114,4905
2012,41502,16390,25112,22114,9632,12482,16007,6745,9262,6524,2789,3735,11641,2957,8684,4404,1262,3142,5925,1213,4712,23164,8431,14733,16007,6745,9262,16652,6743,9909,5925,1213,4712,2628,1195,1433,8484,2389,6095
2013,43982,17183,26799,22767,10019,12748,16235,6992,9243,6973,3026,3947,14775,3707,11068,4944,1376,3568,8257,1732,6525,25050,9054,15996,16235,6992,9243,16443,6796,9647,8257,1732,6525,3105,1431,1674,11153,3105,8048
2014,47055,18243,28812,25760,11181,14579,18893,7924,10969,7945,3487,4458,17465,4472,12993,5415,1535,3880,10574,2414,8160,28647,10227,18420,18893,7924,10969,16941,7143,9798,10574,2414,8160,5544,2079,3465,15091,4218,10873
2015,52404,19447,32957,29728,12218,17510,22598,8786,13812,8791,3779,5012,21823,5770,16053,6784,1899,4885,12989,3108,9881,33091,11420,21671,22598,8786,13812,17536,7429,10107,12989,3108,9881,9580,3020,6560,19884,5458,14426
